"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,1138,146.81,146.9,146.79,146.9,86603
01/07/2019,1139,146.9,146.99,146.1,146.86,118491
01/07/2019,1140,146.86,146.88,146.69,146.79,110827
01/07/2019,1141,146.79,146.8,146.65,146.75,90918
01/07/2019,1142,146.74,146.89,146.66,146.7,105508
01/07/2019,1143,146.7,146.71,146.44,146.64,101773
01/07/2019,1144,146.65,146.91,146.64,146.87,101402
01/07/2019,1145,146.87,147.1,146.84,147.03,135832
01/07/2019,1146,147.04,147.28,147,147.24,128540
01/07/2019,1147,147.21,147.28,147.05,147.14,141895
01/07/2019,1148,147.15,147.5,147.09,147.48,166379
01/07/2019,1149,147.48,147.51,147.3,147.38,154016
01/07/2019,1150,147.37,147.43,147.3,147.42,114795
01/07/2019,1151,147.42,147.46,147.31,147.38,103286
01/07/2019,1152,147.39,147.5,147.27,147.45,110458
01/07/2019,1153,147.46,147.49,147.25,147.27,156396
01/07/2019,1154,147.26,147.3,147.13,147.27,94904
01/07/2019,1155,147.26,147.27,147.08,147.14,99283
01/07/2019,1156,147.12,147.27,147.03,147.24,94878
01/07/2019,1157,147.23,147.26,147.15,147.18,40877
01/07/2019,1158,147.18,147.34,147.17,147.32,50215
01/07/2019,1159,147.33,147.41,147.2,147.27,87039
01/07/2019,1200,147.27,147.31,147.15,147.17,51861
01/07/2019,1201,147.18,147.19,146.89,146.96,97576
01/07/2019,1202,146.95,147.03,146.89,146.91,81798
01/07/2019,1203,146.91,146.97,146.81,146.93,85270
01/07/2019,1204,146.92,147.01,146.86,146.91,53775
01/07/2019,1205,146.93,147.08,146.92,147.03,60819
01/07/2019,1206,147.03,147.14,146.99,147.13,38721
01/07/2019,1207,147.13,147.18,147.04,147.18,50686
01/07/2019,1208,147.18,147.24,147.13,147.19,72081
01/07/2019,1209,147.19,147.23,147.13,147.13,65423
01/07/2019,1210,147.14,147.14,147.02,147.02,38707
01/07/2019,1211,147.02,147.02,146.94,147.02,76740
01/07/2019,1212,147.02,147.09,147,147.07,53899
01/07/2019,1213,147.08,147.14,147.06,147.12,85969
01/07/2019,1214,147.12,147.33,147.11,147.24,115712
01/07/2019,1215,147.23,147.39,147.16,147.38,143835
01/07/2019,1216,147.39,147.45,147.3,147.44,147392
01/07/2019,1217,147.43,147.47,147.34,147.4,89317
01/07/2019,1218,147.4,147.43,147.32,147.37,83491
01/07/2019,1219,147.37,147.42,147.3,147.37,123993
01/07/2019,1220,147.37,147.47,147.31,147.45,100624
01/07/2019,1221,147.45,147.72,147.45,147.68,180539
01/07/2019,1222,147.68,147.68,147.51,147.65,102663
01/07/2019,1223,147.64,147.74,147.46,147.56,172501
01/07/2019,1224,147.57,147.74,147.57,147.7,71619
01/07/2019,1225,147.71,147.88,147.65,147.88,118847
01/07/2019,1226,147.88,147.89,147.77,147.87,80954
01/07/2019,1227,147.86,147.87,147.65,147.73,83412
01/07/2019,1228,147.73,147.74,147.61,147.69,69206
01/07/2019,1229,147.7,147.77,147.51,147.62,95021
01/07/2019,1230,147.62,147.68,147.45,147.45,88871
01/07/2019,1231,147.45,147.59,147.42,147.54,62868
01/07/2019,1232,147.52,147.54,147.47,147.5,41401
01/07/2019,1233,147.5,147.52,147.44,147.49,67506
01/07/2019,1234,147.49,147.59,147.43,147.48,87906
01/07/2019,1235,147.47,147.48,147.35,147.48,64076
01/07/2019,1236,147.48,147.5,147.28,147.28,59966
01/07/2019,1237,147.28,147.34,147.14,147.2,192919
01/07/2019,1238,147.2,147.4,147.18,147.37,74774
01/07/2019,1239,147.36,147.43,147.33,147.39,36837
01/07/2019,1240,147.38,147.45,147.28,147.35,40499
01/07/2019,1241,147.34,147.34,147.17,147.22,86641
01/07/2019,1242,147.23,147.4,147.23,147.4,35802
01/07/2019,1243,147.4,147.4,147.25,147.26,37195
01/07/2019,1244,147.26,147.27,147.15,147.22,61646
01/07/2019,1245,147.22,147.4,147.22,147.39,49875
01/07/2019,1246,147.39,147.42,147.33,147.38,34924
01/07/2019,1247,147.38,147.49,147.37,147.49,56204
01/07/2019,1248,147.49,147.51,147.32,147.34,88010
01/07/2019,1249,147.35,147.37,147.2,147.36,60598
01/07/2019,1250,147.36,147.39,147.25,147.38,81556
01/07/2019,1251,147.38,147.4,147.18,147.26,54178
01/07/2019,1252,147.26,147.28,147.17,147.23,52016
01/07/2019,1253,147.24,147.24,147.18,147.2,42519
01/07/2019,1254,147.2,147.29,147.17,147.17,69624
01/07/2019,1255,147.17,147.5,147.17,147.5,134236
01/07/2019,1256,147.5,147.8,147.48,147.73,174158
01/07/2019,1257,147.73,147.73,147.6,147.7,60128
01/07/2019,1258,147.7,147.8,147.67,147.74,82998
01/07/2019,1259,147.75,147.77,147.67,147.68,45221
01/07/2019,1300,147.68,147.83,147.6,147.81,91300
01/07/2019,1301,147.82,147.86,147.73,147.73,63081
01/07/2019,1302,147.72,147.9,147.72,147.89,64909
01/07/2019,1303,147.89,148.06,147.88,147.98,141172
01/07/2019,1304,147.99,148.04,147.9,147.96,111964
01/07/2019,1305,147.97,148,147.93,147.99,76290
01/07/2019,1306,147.98,147.99,147.86,147.92,60443
01/07/2019,1307,147.91,147.99,147.9,147.98,71160
01/07/2019,1308,147.97,148,147.91,147.94,52800
01/07/2019,1309,147.94,148,147.93,147.98,36358
01/07/2019,1310,147.98,148.12,147.93,147.99,122811
01/07/2019,1311,148,148.08,147.99,148.06,41930
01/07/2019,1312,148.05,148.07,147.98,147.99,56586
01/07/2019,1313,147.99,148,147.82,147.82,87356
01/07/2019,1314,147.83,147.83,147.57,147.59,148285
01/07/2019,1315,147.58,147.61,147.31,147.32,170545
01/07/2019,1316,147.31,147.33,147.17,147.22,132617
01/07/2019,1317,147.2,147.37,147.19,147.29,57707
01/07/2019,1318,147.29,147.37,147.27,147.31,69818
01/07/2019,1319,147.31,147.43,147.26,147.33,113439
01/07/2019,1320,147.33,147.33,147.2,147.22,97094
01/07/2019,1321,147.21,147.32,147.15,147.2,112211
01/07/2019,1322,147.2,147.28,147.16,147.2,68185
01/07/2019,1323,147.2,147.23,146.98,146.99,208468
01/07/2019,1324,146.99,147.08,146.92,147.03,85422
01/07/2019,1325,147.02,147.16,147.01,147.1,70097
01/07/2019,1326,147.1,147.24,147.09,147.15,77472
01/07/2019,1327,147.13,147.21,147.02,147.14,79367
01/07/2019,1328,147.15,147.18,147,147.02,73945
01/07/2019,1329,147.02,147.26,147.01,147.24,100380
01/07/2019,1330,147.24,147.24,146.99,147.07,89392
